,artist,song,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1209,pink floyd,not now john,spotify:track:6JwcYUAHQAwUXJWZ4S9c5V,0.513,0.833,4,-7.883,0,0.0489,0.185,1.07e-06,0.844,0.318,91.38,301210,4
1210,dave edmunds,slipping away,spotify:track:6My1PfmDeYo8jr5c1Bzhjm,0.583,0.924,2,-8.277,1,0.0314,0.042,0.00531,0.355,0.817,130.335,260827,4
1211,jackson browne,for a rocker,spotify:track:76Inmt7MZhUrPnDcoRcRjm,0.505,0.549,2,-11.793,1,0.0369,0.0124,3.44e-06,0.353,0.778,147.022,244867,4
1213,stray cats,(she's) sexy + 17,spotify:track:5x5FUXjs53WbPuTwT6WD8d,0.525,0.931,9,-5.593,1,0.0583,0.00831,0,0.106,0.75,89.9,194067,4
1214,tony carey,i won't be home tonight,spotify:track:3piCFb1t9mVY3iVoKxQ1jb,0.635,0.686,9,-10.032,1,0.0327,0.00355,0.000908,0.106,0.88,130.557,209000,4
1215,zz top,sharp dressed man,spotify:track:1UBQ5GK8JaQjm5VbkBZY66,0.601,0.859,5,-5.263,1,0.0276,0.000359,0.00124,0.0871,0.446,125.145,258027,4
1216,38 special,back where you belong,spotify:track:0YQeuXoLAK7WM2E8sswDdS,0.524,0.747,7,-5.692,1,0.0318,0.00403,4.67e-05,0.0398,0.88,124.82,242160,4
1217,the pretenders,middle of the road,spotify:track:1YhyOTcVjHe73cm6tYrHkA,0.488,0.959,9,-5.575,1,0.0758,0.00333,0.0767,0.025,0.67,166.799,254293,4
1218,pink floyd,your possible pasts,spotify:track:1IAiDrvZCOx8AHlNZGY5yU,0.443,0.152,7,-11.854,1,0.037,0.654,0.000117,0.132,0.201,135.808,266303,3
1219,john cougar mellencamp,crumblin' down,spotify:track:4uqmzWlYa0eLKmbcHNgLej,0.782,0.905,7,-3.56,1,0.0789,0.0165,1.37e-06,0.0797,0.667,126.748,214133,4
1220,robert plant,other arms,spotify:track:12EdTKuwDPRTVexWEgu8IE,0.582,0.976,7,-5.69,0,0.0476,0.0361,0.00392,0.329,0.547,106.349,261587,4
1221,loverboy,hot girls in love,spotify:track:1pB5Y2BPLez1J49KKKewUE,0.495,0.772,9,-11.164,1,0.0535,0.00658,6.27e-06,0.182,0.56,153.743,239000,4
1222,def leppard,foolin',spotify:track:1wv8bYmoqY3TAKKQY3Qn7t,0.608,0.787,9,-6.703,0,0.0277,0.000337,0.00782,0.111,0.474,113.796,274118,4
